time,deHorizontalVib,deVerticalVib,deAxialVib,nde_horizontalVib,nde_verticalVib,nde_axialVib
11:26:41,1.4,2,0.9,1.9,0.9,0.6
11:27:42,1.4,2.1,1,1.8,0.9,0.6
11:28:43,1.4,2.1,1,1.8,0.9,0.6
11:29:43,1.4,2.3,1,1.9,0.9,0.6
11:30:44,1.4,2.1,1,1.9,0.9,0.6
11:31:45,1.4,2,0.9,1.8,0.9,0.6
11:32:45,1.4,2,0.9,1.8,0.9,0.6
11:33:46,1.4,2,0.9,1.8,0.9,0.6
11:34:46,1.4,2.1,1,1.8,0.9,0.6
11:35:47,1.4,2.1,0.9,1.7,0.9,0.6
11:36:48,1.4,2.2,0.9,1.7,0.9,0.7
11:37:48,1.6,2.1,1.3,2.1,1,1.5
11:38:49,1.5,2.2,1.3,2,1,1.5
11:39:50,1.5,2,1.2,2,1,1.5
11:40:50,1.5,2,1.2,2,1,1.5
11:41:51,1.5,2.1,1.2,2,1,1.4
11:42:52,1.5,2.2,1.3,1.9,1.0,1.4
11:43:52,1.5,2.2,1.3,2.0,1.0,1.4
11:44:53,1.5,2.0,1.1,2.0,1.0,1.4
11:45:54,1.5,2.0,1.2,1.9,1.0,1.4
11:46:54,1.5,2.2,1.2,1.9,1.0,1.3
11:47:55,1.5,2.2,1.2,1.9,1.0,1.3
11:48:56,1.5,2.0,1.1,1.9,1.0,1.3
11:49:56,1.5,1.9,1.1,1.9,1.0,1.3
11:50:57,1.5,2.0,1.2,1.9,1.0,1.3
11:51:58,1.6,2.2,1.2,1.9,1.0,1.3
11:52:58,1.5,2.1,1.1,1.9,0.9,1.3
11:48:56,1.5,2.0,1.1,1.9,1.0,1.3
11:49:56,1.5,2.0,1.1,1.9,1.0,1.2
11:50:57,1.5,2.0,1.1,1.9,1.0,1.2
11:51:58,1.5,2.0,1.1,1.9,1.0,1.2
11:52:58,1.5,2.0,1.1,1.9,0.9,1.2
11:48:56,1.5,2.0,1.0,1.8,0.9,1.2
11:49:56,1.6,2.0,1.0,1.8,0.9,1.2
11:50:57,1.6,2.0,1.0,1.8,0.9,1.2
11:51:58,1.6,2.0,1.0,1.8,0.9,1.2
11:52:58,1.6,2.0,1.0,1.8,0.9,1.1
11:48:56,1.6,2.0,1.0,1.8,0.9,1.1
11:49:56,1.6,2.0,1.0,1.8,0.9,1.1
11:50:57,1.6,1.9,1.0,1.8,0.9,1.1
11:51:58,1.6,1.9,0.9,1.8,0.9,1.1
11:52:58,1.6,1.9,0.9,1.8,0.9,1.1
11:48:56,1.6,1.9,0.9,1.8,0.9,1.1
11:49:56,1.6,1.9,0.9,1.8,0.9,1.1
11:50:57,1.6,1.9,0.9,1.8,0.9,1.0
11:51:58,1.6,1.9,0.9,1.8,0.9,1.0
11:52:58,1.6,1.9,0.9,1.8,0.9,1.0
11:48:56,1.6,1.9,0.9,1.8,0.9,1.0
11:49:56,1.6,1.9,0.8,1.7,0.9,1.0
11:50:57,1.6,1.9,0.8,1.7,0.9,1.0
11:51:58,1.6,1.9,0.8,1.7,0.9,1.0
11:52:58,1.6,1.8,0.8,1.7,0.9,1.0
11:48:56,1.6,1.8,0.8,1.7,0.9,0.9
11:49:56,1.6,1.8,0.8,1.7,0.8,0.9
11:50:57,1.6,1.8,0.8,1.7,0.8,0.9
11:51:58,1.6,1.8,0.7,1.7,0.8,0.9
11:52:58,1.6,1.8,0.7,1.7,0.8,0.9
11:48:56,1.6,1.8,0.7,1.7,0.8,0.9
11:49:56,1.6,1.8,0.7,1.7,0.8,0.9
11:50:57,1.6,1.8,0.7,1.7,0.8,0.9
11:51:58,1.7,1.8,0.7,1.7,0.8,0.8
11:52:58,1.7,1.8,0.7,1.7,0.8,0.8
11:48:56,1.7,1.8,0.7,1.7,0.8,0.8
11:49:56,1.7,1.7,0.6,1.7,0.8,0.8
11:50:57,1.7,1.7,0.6,1.6,0.8,0.8
11:51:58,1.7,1.7,0.6,1.6,0.8,0.8
11:52:58,1.7,1.7,0.6,1.6,0.8,0.8
11:48:56,1.7,1.7,0.6,1.6,0.8,0.8
11:49:56,1.7,1.7,0.6,1.6,0.8,0.7
11:50:57,1.7,1.7,0.6,1.6,0.8,0.7
11:51:58,1.7,1.7,0.6,1.6,0.8,0.7
11:52:58,1.7,1.7,0.5,1.6,0.8,0.7
11:48:56,1.7,1.7,0.5,1.6,0.8,0.7
11:49:56,1.7,1.7,0.5,1.6,0.8,0.7
11:50:57,1.7,1.7,0.5,1.6,0.8,0.7
11:51:58,1.7,1.6,0.5,1.6,0.7,0.6
11:52:58,1.7,1.6,0.5,1.6,0.7,0.6
11:48:56,1.7,1.6,0.5,1.6,0.7,0.6
11:49:56,1.7,1.6,0.5,1.6,0.7,0.6
11:50:57,1.7,1.6,0.4,1.5,0.7,0.6
11:51:58,1.7,1.6,0.4,1.5,0.7,0.6
11:52:58,1.7,1.6,0.4,1.5,0.7,0.6
11:48:56,1.7,1.6,0.4,1.5,0.7,0.6
11:49:56,1.7,1.6,0.4,1.5,0.7,0.5
11:50:57,1.7,1.6,0.4,1.5,0.7,0.5
11:51:58,1.7,1.6,0.4,1.5,0.7,0.5
11:52:58,1.7,1.6,0.4,1.5,0.7,0.5
11:48:56,1.7,1.6,0.3,1.5,0.7,0.5
11:49:56,1.8,1.5,0.3,1.5,0.7,0.5
