time,deHorizontalVib,deVerticalVib,deAxialVib,nde_horizontalVib,nde_verticalVib,nde_axialVib
10:11:22,0.5,0.9,1,0.6,0.5,0.5
10:12:23,0.5,0.9,1,0.6,0.6,0.5
10:13:23,0.5,0.9,1,0.5,0.6,0.5
10:14:24,0.5,0.9,1,0.6,0.5,0.6
10:15:24,0.5,0.9,1,0.6,0.5,0.5
10:16:25,0.5,0.9,1,0.6,0.6,0.6
10:17:25,0.5,0.9,1,0.5,0.6,0.5
10:18:26,0.5,0.9,1,0.6,0.5,0.5
10:19:26,0.5,0.9,1,0.6,0.5,0.5
10:20:26,0.5,0.9,1,0.6,0.6,0.6
10:21:27,0.5,0.9,1,0.5,0.6,0.6
10:22:27,0.5,0.9,1,0.6,0.5,0.6
10:23:28,0.5,0.9,1,0.6,0.5,0.6
10:24:28,0.5,0.9,1,0.6,0.6,0.6
10:25:29,0.5,0.9,1,0.5,0.6,0.6
10:26:29,0.5,0.9,1,0.6,0.5,0.5
10:27:29,0.5,0.9,1,0.6,0.5,0.5
10:28:30,0.5,0.9,0.9,0.5,0.6,0.5
10:29:30,0.5,0.9,1,0.5,0.6,0.5
10:30:31,0.5,0.9,1,0.6,0.5,0.6
10:31:31,0.5,0.9,1,0.6,0.5,0.6
10:32:31,0.5,0.9,1,0.6,0.6,0.6
10:33:32,0.5,0.9,1,0.5,0.6,0.5
10:34:32,0.5,0.9,1,0.6,0.5,0.6
10:35:33,0.5,0.9,1,0.6,0.5,0.6
10:36:33,0.5,0.9,1,0.6,0.6,0.6
10:37:33,0.5,0.9,1,0.5,0.6,0.6
10:38:34,0.5,0.9,1,0.6,0.5,0.6
10:39:34,0.5,0.9,1,0.6,0.5,0.6
10:40:35,0.5,0.9,1,0.6,0.6,0.6
10:41:35,0.5,0.9,1,0.5,0.6,0.6
10:42:35,0.5,0.9,1,0.6,0.5,0.6
10:43:36,0.5,0.9,1,0.6,0.5,0.6
10:44:36,0.5,0.9,1,0.5,0.6,0.6
10:45:37,0.5,0.9,1,0.5,0.6,0.6
10:46:37,0.5,0.9,1,0.6,0.5,0.6
10:47:38,0.5,0.9,1,0.6,0.5,0.6
10:48:38,0.5,0.9,1,0.5,0.6,0.6
10:49:38,0.5,1,1,0.6,0.5,0.6
10:50:39,0.5,0.9,1,0.6,0.5,0.5
10:51:39,0.5,1,1,0.6,0.6,0.5
10:52:39,0.5,1,1,0.5,0.6,0.6
10:53:40,0.5,1,1.1,0.6,0.5,0.6
10:54:40,0.6,1,1.1,0.7,0.5,0.6
10:55:41,0.5,0.9,1.1,0.6,0.5,0.6
10:56:41,0.5,0.9,1.1,0.6,0.6,0.6
10:57:41,0.5,0.9,1,0.7,0.5,0.6
10:58:42,0.5,1.1,1,0.6,0.5,0.5
10:59:43,0.5,1,1,0.6,0.5,0.5
11:00:43,0.5,0.9,1.1,0.6,0.5,0.6
11:01:43,0.5,0.9,1,0.6,0.5,0.6
11:02:43,0.5,0.9,1,0.6,0.6,0.6
11:03:44,0.5,1,1,0.5,0.6,0.5
11:04:44,0.5,1,1,0.6,0.5,0.5
11:05:44,0.6,1,1,0.7,0.5,0.6
11:06:45,0.5,1,1,0.6,0.6,0.6
11:07:45,0.6,0.9,1.2,0.6,0.6,0.6
11:08:45,0.5,1,1,0.7,0.5,0.6
11:09:46,0.5,1,1,0.7,0.5,0.5
11:10:46,0.5,1,1,0.5,0.6,0.5
11:11:47,0.5,0.9,1.1,0.6,0.5,0.6
11:12:47,0.6,1,1.1,0.7,0.5,0.6
11:13:47,0.5,0.9,1,0.6,0.6,0.6
11:14:48,0.5,0.9,1.1,0.5,0.6,0.6
11:15:48,0.6,0.9,1.1,0.6,0.5,0.5
11:16:49,0.6,0.9,1,0.7,0.5,0.6
11:17:49,0.5,0.9,1.1,0.6,0.6,0.6
11:18:49,0.6,0.9,1.1,0.5,0.6,0.6
11:19:50,0.6,0.9,1.1,0.7,0.5,0.6
11:20:50,0.6,0.9,1.1,0.7,0.5,0.6
11:21:51,0.6,0.9,1.1,0.6,0.6,0.6
11:22:51,0.6,0.9,1.2,0.6,0.6,0.6
11:23:51,0.6,1,1.1,0.7,0.5,0.6
11:24:52,0.6,1,1.1,0.7,0.6,0.6
11:25:52,0.6,0.9,1.1,0.5,0.6,0.6
11:26:53,0.5,0.9,1.1,0.6,0.6,0.6
11:27:53,0.6,1,1.1,0.7,0.5,0.6
11:28:53,0.6,0.9,1.1,0.7,0.6,0.6
11:29:54,0.6,0.9,1.2,0.5,0.6,0.6
11:30:54,0.6,1,1.1,0.6,0.5,0.6
11:31:55,0.6,1,1.2,0.7,0.5,0.6
11:32:56,0.6,0.9,1.1,0.6,0.6,0.6
11:33:59,0.5,0.9,1.1,0.5,0.6,0.6
11:35:02,0.6,1,1.1,0.7,0.5,0.6
11:36:05,0.6,1,1.2,0.7,0.5,0.6
11:37:08,0.6,0.9,1.1,0.6,0.6,0.6
11:38:12,0.6,0.9,1.2,0.6,0.6,0.6
11:39:15,0.6,1,1.1,0.7,0.5,0.6
11:40:18,0.6,0.9,1.1,0.7,0.6,0.6
11:41:20,0.6,0.9,1.1,0.5,0.6,0.6
11:42:21,0.6,0.9,1.2,0.6,0.5,0.6
11:43:21,0.6,0.9,1.1,0.7,0.5,0.6
11:44:22,0.6,0.9,1.1,0.6,0.6,0.6
11:45:22,0.6,0.9,1.1,0.5,0.6,0.6
11:46:23,0.6,0.9,1.2,0.6,0.5,0.6
11:47:23,0.6,1,1.1,0.7,0.5,0.6
11:48:24,0.6,0.9,1,0.6,0.6,0.6
11:49:24,0.5,0.9,1.1,0.5,0.6,0.5
11:50:24,0.6,0.9,1.1,0.6,0.5,0.6
11:51:25,0.6,0.9,1,0.7,0.5,0.6
11:52:25,0.5,0.9,1,0.6,0.6,0.6
11:53:26,0.6,0.9,1.1,0.5,0.6,0.6
11:54:27,0.6,0.9,1.1,0.6,0.5,0.6
11:54:52,0.6,0.9,1.1,0.6,0.5,0.6
