time,deHorizontalVib,deVerticalVib,deAxialVib,nde_horizontalVib,nde_verticalVib,nde_axialVib
10:18:36,1.4,1.8,0.9,0.7,1,1.7
10:11:41,1.4,1.8,0.9,0.7,1,1.7
10:12:42,1.4,1.9,0.9,0.7,1,1.8
10:13:44,1.4,1.9,0.9,0.7,1,1.8
10:14:44,1.5,1.9,1,0.7,1.1,1.8
10:15:45,1.5,2,1,0.7,1.1,1.9
10:16:46,1.6,2.1,1,0.7,1.1,2
10:20:10,1.6,2.1,1,0.7,1.1,2
10:21:11,1.7,2.2,1.1,0.7,1.2,2.1
10:22:11,1.7,2.2,1.1,0.7,1.2,2.1
10:23:11,1.7,2,1.1,0.7,1,2
10:24:12,1.7,2.2,1.1,0.7,1.2,2.1
10:25:12,1.7,2,1.1,0.7,1,2
10:26:13,1.7,2.1,1.1,0.7,1.1,2.1
10:27:13,1.8,2.1,1.1,0.7,1.2,2.1
10:28:14,1.8,2,1.1,0.7,1,2
10:29:14,1.8,2.2,1.1,0.7,1.2,2.1
10:30:15,1.9,2.2,1.1,0.7,1.2,2.1
10:31:15,1.9,2.2,1.1,0.7,1.1,2.1
10:32:16,1.9,2.1,1.1,0.7,1.1,2.1
10:33:16,1.9,2.2,1.1,0.7,1.1,2.2
10:34:17,1.9,2.2,1.1,0.7,1.2,2.2
10:35:17,1.9,2.2,1.1,0.7,1.2,2.2
10:36:17,1.9,2.2,1.1,0.7,1.1,2.2
10:37:18,1.9,2.2,1.1,0.7,1.1,2.2
10:38:18,1.9,2.2,1.2,0.7,1.1,2.2
10:39:19,1.9,2.2,1.1,0.7,1.1,2.2
10:40:19,2,2.3,1.2,0.7,1.1,2.2
10:41:20,1.9,2.1,1.1,0.7,1.1,2.2
10:42:20,2,2.3,1.2,0.7,1.1,2.2
10:43:21,2,2.3,1.2,0.7,1.1,2.2
10:44:21,2,2.2,1.1,0.7,1.1,2.2
10:45:22,2,2.3,1.2,0.7,1.1,2.2
10:46:22,2,2.3,1.2,0.7,1.1,2.2
10:47:22,2,2.3,1.1,0.7,1.1,2.2
10:48:23,2,2.3,1.2,0.7,1.1,2.2
10:49:23,2,2.3,1.2,0.7,1.1,2.2
10:50:24,2,2.4,1.2,0.7,1.1,2.3
10:51:24,2,2.4,1.2,0.7,1.1,2.3
10:52:25,2,2.3,1.2,0.7,1.1,2.2
10:53:25,2,2.3,1.2,0.7,1.1,2.2
10:54:25,2.1,2.3,1.2,0.7,1.1,2.2
10:55:26,2,2.3,1.2,0.7,1.1,2.2
10:56:26,2,2.3,1.2,0.7,1,2.2
10:57:27,2.1,2.4,1.2,0.7,1,2.3
10:58:27,2,2.3,1.2,0.7,1.1,2.3
10:59:28,2.1,2.3,1.2,0.7,1,2.2
11:00:28,2.1,2.3,1.2,0.7,1.1,2.3
11:01:29,2,2.3,1.2,0.7,1,2.2
11:02:29,2,2.4,1.2,0.7,1,2.2
11:03:29,2,2.4,1.2,0.7,1,2.3
11:04:30,2,2.3,1.2,0.7,1,2.2
11:05:30,2,2.3,1.2,0.7,1,2.2
11:06:31,2.1,2.3,1.2,0.7,1,2.2
11:07:31,2,2.3,1.2,0.7,1,2.3
11:08:32,2,2.4,1.2,0.7,1,2.3
11:09:32,2.1,2.4,1.2,0.7,1,2.3
11:10:33,2.1,2.3,1.2,0.7,1,2.3
11:11:33,2,2.4,1.2,0.7,1,2.3
11:12:34,2.1,2.4,1.2,0.8,1,2.3
11:13:34,2.1,2.3,1.2,0.7,1,2.3
11:14:34,2.1,2.4,1.2,0.7,1,2.3
11:15:35,2.1,2.4,1.2,0.7,1,2.3
11:16:36,2.1,2.4,1.2,0.7,1,2.3
11:17:36,2.1,2.3,1.2,0.7,1,2.3
11:18:37,2.1,2.3,1.2,0.7,1,2.3
11:19:37,2.1,2.3,1.2,0.7,1,2.3
11:20:37,2.1,2.4,1.2,0.7,1,2.3
11:21:38,2.1,2.4,1.2,0.8,1,2.3
11:22:38,2.1,2.3,1.3,0.7,1,2.3
11:23:39,2.1,2.4,1.2,0.7,1,2.3
11:24:39,2.1,2.3,1.2,0.8,1,2.3
11:25:39,2.1,2.4,1.2,0.8,1,2.3
11:26:40,2.1,2.4,1.2,0.7,1,2.3
11:27:40,2.1,2.4,1.2,0.7,1,2.3
11:28:41,2.1,2.4,1.3,0.8,1,2.3
11:29:41,2.1,2.4,1.2,0.7,1,2.3
11:30:42,2.1,2.4,1.3,0.8,1,2.3
11:31:42,2.1,2.4,1.2,0.8,1,2.3
11:32:43,2.1,2.4,1.2,0.7,1,2.3
11:33:43,2.1,2.4,1.2,0.8,1,2.3
11:34:44,2.1,2.3,1.2,0.8,1,2.3
11:35:44,2.1,2.4,1.2,0.7,1,2.3
11:36:44,2.1,2.4,1.2,0.8,1,2.3
11:37:45,2.1,2.4,1.3,0.8,1,2.3
11:38:45,2.1,2.4,1.2,0.7,1,2.3
11:39:46,2.1,2.4,1.3,0.8,1,2.3
11:40:46,2.1,2.4,1.2,0.8,1,2.3
11:41:47,2.1,2.5,1.2,0.7,1,2.3
11:42:47,2.1,2.4,1.3,0.8,1,2.3
11:43:48,2.1,2.4,1.2,0.8,1,2.3
11:44:48,2.1,2.4,1.3,0.7,1,2.3
11:45:48,2.1,2.4,1.3,0.8,0.9,2.3
11:46:49,2.1,2.3,1.3,0.7,1,2.3
11:47:50,2.1,2.5,1.3,0.7,1,2.3
11:48:50,2.1,2.4,1.3,0.8,1,2.3
11:49:51,2.1,2.5,1.2,0.8,1,2.3
11:50:51,2.1,2.4,1.3,0.7,1,2.3
11:51:52,2.1,2.4,1.3,0.8,1,2.3
11:52:53,2.1,2.4,1.2,0.8,1,2.3
11:53:53,2.2,2.4,1.3,0.7,0.9,2.3
11:54:54,2.1,2.4,1.3,0.8,1,2.3
11:55:54,2.1,2.4,1.2,0.8,1,2.3
11:56:55,2.1,2.5,1.3,0.7,1,2.3
11:57:17,2.2,2.4,1.3,0.8,0.9,2.3
