time,deHorizontalVib,deVerticalVib,deAxialVib,nde_horizontalVib,nde_verticalVib,nde_axialVib
12:49:14,1.4,1.7,0.7,1.5,0.7,1
12:50:28,1.4,2,0.9,1.4,0.7,1
12:51:30,1.4,1.9,0.8,1.5,0.7,1
12:52:31,1.4,1.7,0.9,1.4,0.7,1
12:53:32,1.5,1.9,1,1.5,0.7,1
12:54:33,1.4,1.7,0.8,1.5,0.7,1
12:55:34,1.4,1.9,0.8,1.5,0.7,1.1
12:56:35,1.4,1.7,0.7,1.4,0.7,1.1
12:57:36,0.8,1.1,0.7,0.7,0.4,0.9
12:58:37,0.4,0.4,0.3,0.4,0.3,0.3
12:59:38,0.9,1.2,0.7,0.7,0.4,1
13:00:39,1.4,1.6,0.8,1.3,0.6,1.1
13:01:40,1.5,2,0.9,1.5,0.7,1.1
13:02:42,1.5,1.8,0.8,1.5,0.7,1.1
13:03:43,1.5,2,0.8,1.4,0.7,1.1
13:04:44,1.6,2,0.8,1.5,0.7,1.1
13:05:45,1.5,1.9,0.8,1.5,0.7,1.1
13:06:47,1.5,2,0.8,1.5,0.7,1.1
13:07:47,1.5,2,0.8,1.5,0.7,1.1
13:08:49,1.6,1.9,0.9,1.4,0.7,1.1
13:09:52,1.5,2.1,0.9,1.5,0.7,1.1
13:10:52,1.5,1.9,0.8,1.5,0.7,1.1
13:11:53,1.5,1.9,0.8,1.4,0.7,1.1
13:12:54,1.5,2,0.9,1.5,0.7,1.1
13:13:55,1.5,1.8,0.8,1.5,0.7,1.1
13:14:56,1.5,1.9,0.8,1.4,0.7,1.1
13:15:57,1.4,1.8,0.7,1.5,0.7,1.1
13:16:59,1.5,1.7,0.7,1.5,0.6,1.1
13:18:00,1.5,2,0.9,1.5,0.7,1.1
13:19:01,1.4,1.7,0.8,1.5,0.6,1.1
13:20:02,1.5,1.8,0.8,1.4,0.7,1.1
13:21:03,1.5,1.7,0.7,1.5,0.7,1.1
13:22:04,1.4,1.7,0.9,1.5,0.7,1.1
13:23:05,1.5,1.9,0.9,1.5,0.7,1.1
13:24:06,1.4,1.8,0.7,1.5,0.6,1.1
13:25:08,1.4,1.8,0.8,1.5,0.7,1.1
13:26:10,1.4,1.8,0.7,1.5,0.6,1.1
13:27:13,1.4,1.7,0.8,1.5,0.6,1.1
13:28:17,1.4,1.8,0.8,1.5,0.6,1.1
13:29:20,1.4,1.8,0.8,1.4,0.7,1.1
13:30:24,1.4,1.7,0.8,1.5,0.6,1.1
13:31:27,1.5,1.8,0.9,1.5,0.7,1.1
13:32:28,1.5,1.8,1,1.5,0.7,1.1
13:33:29,1.5,1.7,0.8,1.4,0.7,1.1
13:34:31,1.5,1.9,1,1.5,0.7,1.1
13:35:32,1.5,1.7,0.8,1.6,0.7,1.1
13:36:33,1.5,1.8,0.8,1.5,0.7,1.1
13:37:37,1.5,1.8,0.9,1.5,0.7,1.1
13:38:38,1.5,1.7,0.8,1.5,0.6,1.1
13:39:39,1.5,1.8,0.8,1.5,0.7,1.1
13:40:40,1.4,1.6,0.8,1.5,0.7,1.1
