time,drivingEndBearingTemp-I,drivingEndBearingTemp-II,nonDrivingEndBearingTemp-I,nonDrivingEndBearingTemp-II
18:59:13,41.2,41.3,40.2,40.2
19:00:13,41.7,41.9,40.6,40.5
19:01:13,42.5,42.7,40.9,40.9
19:02:14,43.4,43.6,41.3,41.3
19:03:14,44.4,44.6,41.7,41.6
19:04:15,45.5,45.7,42,41.9
19:05:15,46.6,46.7,42.3,42.2
19:06:15,47.6,47.8,42.6,42.5
19:07:16,48.7,48.9,42.9,42.8
19:08:16,49.8,50,43.1,43.1
19:09:16,50.9,51,43.4,43.3
19:10:17,51.9,52,43.6,43.5
19:11:17,52.9,53,43.8,43.7
19:12:18,53.8,54,44.1,44
19:13:18,54.7,54.9,44.2,44.1
19:14:18,55.6,55.8,44.4,44.3
19:15:19,56.4,56.6,44.6,44.5
19:16:19,57.1,57.3,44.8,44.7
19:17:20,57.8,58,44.9,44.8
19:18:22,58.4,58.6,45,44.9
19:19:23,59.1,59.3,45.2,45.1
19:20:24,59.6,59.8,45.3,45.2
19:21:25,60.1,60.2,45.5,45.4
19:22:25,60.4,60.6,45.6,45.5
19:23:26,60.6,60.7,45.7,45.6
19:24:26,60.6,60.8,45.8,45.7
19:25:26,60.6,60.8,45.9,45.8
19:26:27,60.4,60.6,46,45.9
19:27:27,60.2,60.4,46.1,46
19:28:27,60,60.2,46.2,46
19:29:28,59.7,59.9,46.2,46.1
19:30:28,59.5,59.6,46.3,46.2
19:31:28,59.2,59.4,46.4,46.2
19:32:29,58.9,59.1,46.4,46.3
19:33:29,58.7,58.8,46.5,46.3
19:34:30,58.4,58.6,46.5,46.4
19:35:30,58.1,58.3,46.6,46.5
19:36:31,57.9,58,46.6,46.5
19:37:31,57.7,57.8,46.7,46.6
19:38:32,57.4,57.6,46.8,46.6
19:39:32,57.2,57.4,46.8,46.7
19:40:33,57,57.1,46.9,46.7
19:41:33,56.8,56.9,46.9,46.8
19:42:10,56.7,56.8,47,46.8
