time,drivingEndBearingTemp-I,drivingEndBearingTemp-II,nonDrivingEndBearingTemp-I,nonDrivingEndBearingTemp-II
11:17:03,37.7,37.5,36.4,36.4
11:18:04,38.7,38.6,36.9,36.8
11:19:04,39.9,39.8,37.5,37.4
11:20:05,41.1,41,38.1,38
11:21:05,42.4,42.3,38.8,38.7
11:22:05,43.6,43.5,39.4,39.3
11:23:06,44.8,44.6,40.1,39.9
11:24:06,45.9,45.8,40.7,40.5
11:25:07,47,46.8,41.3,41.1
11:26:07,48,47.9,41.9,41.7
11:27:07,49,48.9,42.4,42.2
11:28:08,49.9,49.8,42.9,42.7
11:29:08,50.8,50.7,43.4,43.2
11:30:09,51.6,51.5,43.9,43.7
11:31:09,52.4,52.3,44.3,44.1
11:32:09,53.2,53.1,44.7,44.5
11:33:10,53.9,53.8,45.1,44.9
11:34:10,54.5,54.4,45.5,45.2
11:35:11,55.2,55.1,45.8,45.5
11:36:11,55.8,55.7,46.1,45.8
11:37:11,56.3,56.2,46.3,46
11:38:12,56.9,56.8,46.6,46.3
11:39:12,57.4,57.3,46.8,46.5
11:40:13,57.9,57.8,47,46.7
11:41:13,58.3,58.3,47.2,46.9
11:42:14,58.8,58.7,47.4,47.1
11:43:14,59.2,59.1,47.5,47.2
11:44:14,59.6,59.5,47.6,47.3
11:45:15,60,59.9,47.6,47.3
11:46:15,60.4,60.3,47.7,47.4
11:47:16,60.8,60.7,47.7,47.4
11:48:16,61.1,61,47.7,47.4
11:49:17,61.4,61.3,47.6,47.3
11:50:17,61.7,61.7,47.6,47.3
11:51:17,62,62,47.6,47.3
11:52:18,62.3,62.2,47.5,47.3
11:53:18,62.6,62.5,47.5,47.2
11:54:19,62.8,62.7,47.4,47.1
11:55:19,63,62.9,47.4,47.1
11:56:20,63.2,63.1,47.3,47
11:57:20,63.4,63.4,47.3,47
11:58:21,63.6,63.5,47.2,46.9
11:59:21,63.8,63.7,47.1,46.9
12:00:21,64,63.9,47.1,46.8
12:01:22,64.1,64,47,46.8
12:02:22,64.2,64.2,47,46.7
12:03:22,64.4,64.3,46.9,46.6
12:04:23,64.5,64.4,46.8,46.6
12:05:23,64.7,64.6,46.8,46.5
12:06:24,64.8,64.7,46.7,46.4
12:07:24,64.9,64.8,46.6,46.4
12:08:24,65,64.9,46.6,46.3
12:09:25,65.1,65,46.5,46.3
12:10:24,65.2,65.2,46.5,46.2
12:11:26,65.4,65.3,46.4,46.2
12:12:27,65.5,65.4,46.4,46.1
12:13:27,65.6,65.5,46.3,46.1
12:14:27,65.7,65.6,46.3,46
12:15:28,65.8,65.7,46.2,46
12:16:28,65.9,65.8,46.2,46
12:17:28,65.9,65.8,46.2,46
12:18:29,66,65.9,46.2,45.9
12:19:29,66.1,66,46.2,45.9
12:20:29,66.2,66.1,46.2,45.9
12:21:30,66.3,66.2,46.1,45.9
12:22:31,66.3,66.2,46.1,45.9
12:23:34,66.4,66.3,46.1,45.9
12:24:36,66.5,66.4,46.1,45.9
