time,drivingEndBearingTemp-I,drivingEndBearingTemp-II,nonDrivingEndBearingTemp-I,nonDrivingEndBearingTemp-II
19:29:20,37.2,38.2,38.2,37.2
19:30:21,37.5,38.6,38.6,37.5
19:31:21,37.7,39.1,39.1,37.8
19:32:21,38,39.5,39.4,38
19:33:22,38.2,39.8,39.8,38.2
19:34:22,38.4,40.2,40.2,38.4
19:35:22,38.5,40.6,40.5,38.6
19:36:22,38.7,40.9,40.9,38.7
19:37:23,38.9,41.3,41.3,38.9
19:38:23,39,41.8,41.8,39
19:39:23,39.1,42.2,42.2,39.2
19:40:24,39.2,42.7,42.6,39.3
19:41:24,39.3,43.1,43.1,39.4
19:42:24,39.4,43.5,43.5,39.5
19:43:25,39.5,43.9,43.8,39.6
19:44:25,39.6,44.3,44.2,39.6
19:45:25,39.6,44.6,44.6,39.8
19:46:26,39.7,45,44.9,39.8
19:47:26,39.8,45.4,45.3,39.9
19:48:26,39.9,45.7,45.6,40
19:49:27,39.9,46,46,40
19:50:27,40,46.4,46.3,40.1
19:51:27,40.1,46.6,46.6,40.2
19:52:29,40.2,46.9,46.8,40.3
19:53:29,40.2,47.2,47.1,40.4
19:54:30,40.3,47.4,47.3,40.4
19:55:30,40.3,47.6,47.5,40.4
19:56:30,40.4,47.7,47.6,40.5
19:57:31,40.4,47.9,47.8,40.5
19:58:31,40.4,48,47.9,40.6
19:59:31,40.5,48.1,48,40.6
20:00:32,40.5,48.2,48.1,40.6
20:01:32,40.5,48.3,48.2,40.6
20:02:32,40.5,48.3,48.2,40.7
20:03:33,40.6,48.3,48.2,40.7
20:04:33,40.6,48.2,48.1,40.7
20:05:33,40.7,48.1,48,40.8
20:06:33,40.7,48,47.9,40.8
20:07:34,40.7,47.9,47.8,40.8
20:08:34,40.8,47.7,47.7,40.9
20:09:35,40.8,47.6,47.6,40.9
20:10:35,40.9,47.5,47.4,41
20:11:35,40.9,47.3,47.3,41
20:12:36,40.9,47.2,47.2,41
20:13:36,40.9,47.1,47.1,41
20:14:37,40.9,47,46.9,41
20:15:37,41,46.8,46.8,41
20:16:37,40.9,46.7,46.7,41
20:17:38,40.9,46.6,46.5,41.1
20:18:38,40.9,46.45,46.4,41.1
20:19:38,40.9,46.3,46.3,41.1
20:20:38,40.95,46.2,46.2,41.1
20:21:39,41,46.1,46.1,41.1
20:22:40,41,46,46,41.2
20:23:39,41.1,45.9,45.9,41.2
20:24:40,41.1,45.8,45.8,41.2
20:25:40,41.1,45.7,45.7,41.2
20:26:40,41.1,45.7,45.6,41.2
20:27:41,41.2,45.6,45.6,41.3
20:28:41,41.2,45.5,45.5,41.3
20:29:42,41.2,45.4,45.4,41.3
20:30:42,41.2,45.3,45.3,41.3
20:32:08,41.2,45.3,45.3,41.4
