time,drivingEndBearingTemp-I,drivingEndBearingTemp-II,nonDrivingEndBearingTemp-I,nonDrivingEndBearingTemp-II
11:46:27,35.3,35.8,39.3,37.6
11:47:28,35.5,35.9,39.5,37.7
11:48:28,35.6,36.1,39.7,37.9
11:49:29,35.7,36.2,39.9,38.1
11:50:30,35.9,36.3,40.1,38.4
11:51:30,36.1,36.5,40.4,38.6
11:52:32,36.2,36.7,40.6,38.8
11:53:31,36.4,36.9,40.8,39
11:54:32,36.6,37.1,41,39.3
11:55:33,36.8,37.3,41.2,39.5
11:56:33,37,37.4,41.4,39.6
11:57:34,37.2,37.6,41.6,39.8
11:58:35,37.3,37.8,41.7,40
11:59:35,37.5,38,41.9,40.2
12:00:36,37.7,38.2,42.1,40.3
12:01:37,37.8,38.3,42.2,40.5
12:02:38,38,38.4,42.3,40.6
12:03:38,38.1,38.6,42.5,40.7
12:04:39,38.2,38.7,42.6,40.8
12:05:40,38.4,38.8,42.7,41
12:06:40,38.5,39,42.8,41.1
12:07:41,38.6,39.1,42.9,41.2
12:08:42,38.7,39.2,43,41.3
12:09:42,38.9,39.3,43.1,41.4
12:10:43,39,39.4,43.2,41.4
12:11:44,39.1,39.5,43.3,41.6
12:12:44,39.2,39.7,43.4,41.6
12:13:45,39.3,39.8,43.5,41.7
12:14:46,39.4,39.9,43.5,41.8
12:15:46,39.5,40,43.6,41.9
12:16:48,39.6,40.1,43.7,42
12:17:48,39.8,40.2,43.8,42
12:18:48,39.9,40.3,43.8,42.1
12:19:49,40,40.5,43.9,42.1
12:20:50,40.2,40.6,44,42.2
12:21:51,40.3,40.7,44,42.3
12:22:51,40.4,40.8,44.1,42.4
12:23:52,40.5,41,44.1,42.3
12:24:52,40.6,41.1,44.1,42.4
12:25:53,40.7,41.1,44.1,42.3
12:26:54,40.8,41.3,44.1,42.3
12:27:54,41,41.4,44.1,42.3
12:28:55,41.1,41.5,44.1,42.4
12:29:56,41.3,41.7,44.1,42.4
12:30:57,41.5,41.9,44.1,42.4
12:31:59,41.7,42.1,44.1,42.4
12:33:01,41.9,42.4,44.2,42.5
12:34:03,42.3,42.7,44.2,42.5
12:35:04,42.7,43.1,44.2,42.5
12:36:05,43.2,43.6,44.3,42.6
12:37:06,43.9,44.2,44.3,42.6
12:38:07,44.6,45,44.4,42.7
12:39:07,45.3,45.7,44.4,42.7
12:40:08,46.1,46.5,44.4,42.8
12:41:09,46.8,47.2,44.5,42.8
12:42:09,47.5,47.8,44.5,42.8
12:43:11,48.2,48.5,44.5,42.9
12:44:11,48.8,49.2,44.6,42.9
12:45:11,49.5,49.8,44.6,42.9
12:46:12,50.1,50.4,44.6,43
12:47:13,50.6,50.9,44.7,43
12:48:14,51.1,51.4,44.7,43
12:49:15,51.5,51.8,44.7,43.1
12:50:15,52,52.3,44.8,43.1
12:51:16,52.4,52.6,44.8,43.1
12:52:17,52.7,53,44.8,43.2
12:53:18,53,53.3,44.9,43.2
12:54:18,53.3,53.6,44.9,43.2
12:55:19,53.6,53.9,44.9,43.3
12:56:20,53.9,54.2,45,43.3
12:57:20,54.1,54.4,45,43.4
12:58:21,54.3,54.6,45,43.4
12:59:22,54.5,54.7,45.1,43.4
13:00:22,54.6,54.9,45.1,43.5
13:01:23,54.7,55,45.1,43.5
13:02:24,54.8,55.1,45.2,43.6
13:03:24,54.9,55.2,45.2,43.6
13:04:25,54.9,55.2,45.3,43.6
13:05:26,55,55.3,45.3,43.7
13:06:26,55.1,55.3,45.3,43.7
13:07:27,55.2,55.4,45.4,43.7
13:08:28,55.3,55.5,45.4,43.8
13:09:28,55.3,55.6,45.4,43.8
13:10:29,55.4,55.7,45.4,43.8
13:11:30,55.5,55.7,45.4,43.8
13:12:31,55.5,55.7,45.4,43.8
13:13:31,55.5,55.8,45.5,43.8
13:14:32,55.5,55.8,45.5,43.8
13:15:33,55.6,55.8,45.5,43.9
13:16:34,55.6,55.8,45.5,43.9
13:17:35,55.7,55.9,45.5,43.9
13:18:36,55.7,55.9,45.5,43.9
13:19:36,55.8,56,45.5,43.9
13:20:37,55.8,56,45.5,43.9
13:21:38,55.8,56.1,45.5,43.9
13:22:38,55.9,56.1,45.5,43.9
13:23:39,55.9,56.2,45.6,44
13:24:40,56,56.2,45.6,44
13:25:41,56,56.2,45.6,44
13:26:41,56,56.2,45.6,44
13:27:42,56,56.2,45.6,44
13:28:43,56,56.2,45.6,44
13:29:43,56,56.2,45.6,44
13:30:44,56,56.2,45.6,44
13:31:30,56,56.2,45.6,44.1
