time,drivingEndBearingTemp-I,drivingEndBearingTemp-II,nonDrivingEndBearingTemp-I,nonDrivingEndBearingTemp-II
10:18:36,36,35.7,36,36.2
10:11:41,36,35.7,36,36.2
10:12:42,36.2,35.8,36.4,36.6
10:13:44,36.4,36,36.7,36.9
10:14:44,36.6,36.3,37.1,37.3
10:15:45,36.8,36.6,37.7,37.9
10:16:46,37.45,37.2,38.45,38.65
10:20:10,38.1,37.8,39.2,39.4
10:21:11,38.4,38.1,39.6,39.8
10:22:11,38.7,38.3,39.9,40.1
10:23:11,39,38.6,40.2,40.4
10:24:12,39.3,38.9,40.5,40.7
10:25:12,39.6,39.2,40.7,41
10:26:13,39.9,39.5,41,41.2
10:27:13,40.2,39.9,41.2,41.4
10:28:14,40.6,40.2,41.5,41.7
10:29:14,41,40.6,41.7,41.9
10:30:15,41.4,41,41.9,42.1
10:31:15,41.7,41.4,42.1,42.3
10:32:16,42.1,41.8,42.3,42.5
10:33:16,42.5,42.2,42.5,42.7
10:34:17,42.9,42.5,42.7,42.9
10:35:17,43.2,42.9,42.8,43.1
10:36:17,43.6,43.2,43,43.2
10:37:18,43.9,43.6,43.2,43.4
10:38:18,44.2,43.9,43.3,43.5
10:39:19,44.6,44.2,43.4,43.7
10:40:19,44.9,44.6,43.6,43.8
10:41:20,45.2,44.8,43.7,43.9
10:42:20,45.5,45.1,43.8,44.1
10:43:21,45.7,45.4,44,44.2
10:44:21,46,45.7,44.1,44.3
10:45:22,46.3,45.9,44.2,44.5
10:46:22,46.5,46.2,44.4,44.6
10:47:22,46.8,46.5,44.5,44.7
10:48:23,47,46.7,44.6,44.8
10:49:23,47.2,46.9,44.7,44.9
10:50:24,47.5,47.1,44.8,45.1
10:51:24,47.7,47.3,44.9,45.2
10:52:25,47.8,47.5,45,45.3
10:53:25,48,47.7,45.1,45.4
10:54:25,48.2,47.8,45.3,45.5
10:55:26,48.3,48,45.4,45.6
10:56:26,48.5,48.1,45.5,45.7
10:57:27,48.6,48.3,45.6,45.8
10:58:27,48.7,48.4,45.7,45.9
10:59:28,48.8,48.5,45.7,45.9
11:00:28,49,48.6,45.8,46.1
11:01:29,49.1,48.7,45.9,46.2
11:02:29,49.2,48.9,46,46.2
11:03:29,49.3,49,46.1,46.4
11:04:30,49.4,49.1,46.2,46.4
11:05:30,49.5,49.2,46.3,46.6
11:06:31,49.6,49.3,46.4,46.7
11:07:31,49.7,49.3,46.5,46.8
11:08:32,49.8,49.4,46.6,46.8
11:09:32,49.8,49.5,46.7,46.9
11:10:33,49.9,49.5,46.7,47
11:11:33,49.9,49.6,46.8,47.1
11:12:34,50,49.6,46.9,47.1
11:13:34,50,49.7,47,47.2
11:14:34,50.1,49.7,47.1,47.3
11:15:35,50.1,49.7,47.2,47.4
11:16:36,50.15,49.75,47.25,47.5
11:17:36,50.2,49.8,47.3,47.6
11:18:37,50.2,49.9,47.4,47.7
11:19:37,50.3,49.9,47.5,47.7
11:20:37,50.3,50,47.6,47.8
11:21:38,50.4,50,47.6,47.9
11:22:38,50.4,50,47.7,48
11:23:39,50.4,50.1,47.8,48.1
11:24:39,50.5,50.1,47.9,48.2
11:25:39,50.5,50.1,48,48.2
11:26:40,50.5,50.1,48,48.3
11:27:40,50.5,50.2,48.1,48.4
11:28:41,50.5,50.2,48.2,48.4
11:29:41,50.6,50.2,48.2,48.5
11:30:42,50.6,50.2,48.3,48.6
11:31:42,50.6,50.3,48.4,48.6
11:32:43,50.7,50.3,48.4,48.7
11:33:43,50.7,50.3,48.45,48.7
11:34:44,50.7,50.3,48.5,48.7
11:35:44,50.7,50.4,48.5,48.8
11:36:44,50.7,50.4,48.6,48.9
11:37:45,50.8,50.4,48.6,48.9
11:38:45,50.8,50.4,48.7,49
11:39:46,50.8,50.4,48.8,49.1
11:40:46,50.8,50.4,48.8,49.1
11:41:47,50.8,50.5,48.9,49.2
11:42:47,50.8,50.5,48.9,49.2
11:43:48,50.8,50.5,49,49.3
11:44:48,50.8,50.5,49,49.3
11:45:48,50.9,50.5,49.1,49.4
11:46:49,50.9,50.5,49.1,49.4
11:47:50,50.9,50.5,49.2,49.5
11:48:50,50.9,50.6,49.2,49.5
11:49:51,51,50.6,49.2,49.5
11:50:51,51,50.6,49.2,49.5
11:51:52,51,50.6,49.2,49.5
11:52:53,51,50.6,49.2,49.5
11:53:53,51,50.6,49.3,49.6
11:54:54,51,50.6,49.3,49.6
11:55:54,51,50.6,49.4,49.6
11:56:55,51,50.6,49.4,49.7
11:57:17,51,50.6,49.4,49.7
