time,drivingEndBearingTemp-I,drivingEndBearingTemp-II,nonDrivingEndBearingTemp-I,nonDrivingEndBearingTemp-II
17:20:14,40.2,40.3,38.2,38.2
17:21:15,40.7,40.7,38.3,38.3
17:22:15,41.2,41.2,38.4,38.3
17:23:15,41.7,41.7,38.4,38.4
17:24:16,42.2,42.2,38.5,38.5
17:25:16,42.8,42.8,38.6,38.6
17:26:17,43.3,43.3,38.7,38.7
17:27:17,43.8,43.8,38.8,38.8
17:28:18,44.2,44.2,38.9,38.9
17:29:18,44.7,44.7,39,39
17:30:19,45.2,45.2,39.1,39.1
17:31:19,45.6,45.6,39.2,39.2
17:32:20,46.1,46.1,39.3,39.3
17:33:20,46.5,46.5,39.4,39.4
17:34:21,46.9,46.9,39.5,39.5
17:35:21,47.3,47.3,39.6,39.6
17:36:22,47.7,47.7,39.7,39.7
17:37:22,48,48,39.8,39.8
17:38:23,48.3,48.3,39.9,39.9
17:39:23,48.7,48.7,40,40
17:40:23,49,49,40.1,40
17:41:24,49.3,49.3,40.1,40.1
17:42:24,49.6,49.6,40.2,40.2
17:43:25,49.9,49.9,40.3,40.3
17:44:25,50.2,50.2,40.4,40.4
17:45:26,50.6,50.6,40.5,40.4
17:46:26,50.9,50.9,40.5,40.5
17:47:27,51.2,51.2,40.6,40.6
17:48:27,51.5,51.5,40.7,40.7
17:49:28,51.8,51.8,40.7,40.7
17:50:28,52.2,52.2,40.8,40.8
17:51:28,52.5,52.5,40.9,40.8
17:52:29,52.8,52.8,40.9,40.9
17:53:29,53.2,53.2,41,41
17:54:30,53.5,53.5,41.1,41
17:55:30,53.8,53.8,41.1,41.1
17:56:31,54.1,54.1,41.2,41.1
17:57:31,54.5,54.5,41.2,41.2
17:58:32,54.8,54.8,41.3,41.3
17:59:32,55.1,55.1,41.3,41.3
18:00:33,55.4,55.5,41.4,41.4
18:01:33,55.8,55.8,41.5,41.4
18:02:34,56.1,56.1,41.5,41.5
18:03:34,56.4,56.4,41.6,41.5
18:04:35,56.6,56.6,41.6,41.6
18:05:35,56.9,56.9,41.7,41.6
18:06:36,57.2,57.2,41.7,41.7
18:07:36,57.4,57.4,41.8,41.7
18:08:37,57.7,57.7,41.8,41.8
18:09:37,58,58,41.9,41.9
18:10:38,58.2,58.2,41.9,41.9
18:11:38,58.5,58.5,42,42
18:12:39,58.7,58.7,42,42
18:13:39,59,59,42.1,42
18:14:40,59.2,59.2,42.1,42.1
18:15:40,59.5,59.4,42.2,42.1
18:16:41,59.7,59.7,42.2,42.2
18:17:41,59.9,59.9,42.3,42.2
18:18:41,60.1,60.1,42.3,42.3
18:19:42,60.4,60.4,42.3,42.3
18:20:42,60.6,60.6,42.4,42.3
18:21:43,60.8,60.8,42.4,42.4
18:22:43,61,61,42.5,42.4
18:23:44,61.3,61.3,42.5,42.5
18:24:43,61.5,61.5,42.5,42.5
18:25:45,61.7,61.7,42.6,42.5
18:26:46,61.9,61.9,42.65,42.55
18:27:46,62.1,62.1,42.7,42.6
18:28:47,62.4,62.3,42.7,42.7
18:29:47,62.5,62.5,42.8,42.7
18:30:48,62.7,62.7,42.8,42.8
18:31:48,62.9,62.9,42.8,42.8
18:32:49,63,63,42.9,42.8
18:33:49,63.2,63.2,42.9,42.8
18:34:50,63.3,63.3,42.9,42.9
18:35:50,63.5,63.4,42.9,42.9
18:36:51,63.6,63.6,43,42.9
18:37:51,63.7,63.7,43,43
18:38:52,63.8,63.8,43,43
18:39:52,63.9,63.9,43.1,43
18:40:53,64,64,43.1,43.1
18:41:54,64.1,64.1,43.2,43.1
18:42:54,64.2,64.2,43.2,43.2
18:43:55,64.3,64.3,43.3,43.2
18:44:55,64.4,64.4,43.3,43.3
18:45:56,64.5,64.5,43.3,43.3
18:46:56,64.7,64.6,43.4,43.4
18:47:57,64.8,64.8,43.4,43.4
18:48:57,64.9,64.9,43.5,43.4
18:49:58,65,65,43.5,43.5
18:50:58,65.1,65.1,43.5,43.5
18:51:59,65.2,65.2,43.5,43.5
18:52:59,65.3,65.3,43.6,43.6
18:54:00,65.4,65.4,43.6,43.6
18:55:00,65.6,65.5,43.6,43.6
18:56:01,65.7,65.6,43.7,43.6
18:57:02,65.7,65.7,43.7,43.6
18:57:32,65.7,65.8,43.7,43.6
