time,drivingEndBearingTemp-I,drivingEndBearingTemp-II,nonDrivingEndBearingTemp-I,nonDrivingEndBearingTemp-II
12:49:14,38.8,38.7,38.8,39.3
12:50:28,39.2,39.1,39.2,39.7
12:51:30,39.5,39.4,39.6,40.1
12:52:31,39.8,39.8,39.9,40.4
12:53:32,40.1,40.1,40.3,40.7
12:54:33,40.4,40.4,40.6,41
12:55:34,40.8,40.7,40.9,41.3
12:56:35,41.1,41.1,41.1,41.6
12:57:36,41.4,41.4,41.4,41.9
12:58:37,41.7,41.7,41.7,42.1
12:59:38,42.1,42,41.9,42.3
13:00:39,42.3,42.3,42.1,42.5
13:01:40,42.5,42.5,42.2,42.7
13:02:42,42.7,42.7,42.4,42.8
13:03:43,42.9,42.9,42.5,43
13:04:44,43.1,43.1,42.7,43.2
13:05:45,43.3,43.3,42.9,43.4
13:06:47,43.5,43.5,43.1,43.5
13:07:47,43.7,43.7,43.2,43.7
13:08:49,43.9,43.9,43.4,43.9
13:09:52,44.1,44.1,43.6,44
13:10:52,44.3,44.2,43.7,44.2
13:11:53,44.4,44.4,43.9,44.4
13:12:54,44.6,44.6,44,44.5
13:13:55,44.8,44.8,44.2,44.6
13:14:56,44.9,44.9,44.3,44.8
13:15:57,45.1,45.1,44.5,44.9
13:16:59,45.4,45.4,44.6,45.1
13:18:00,45.7,45.7,44.7,45.2
13:19:01,46,46,44.9,45.3
13:20:02,46.3,46.3,45,45.4
13:21:03,46.7,46.7,45.1,45.5
13:22:04,47,47,45.2,45.7
13:23:05,47.4,47.4,45.3,45.8
13:24:06,47.8,47.8,45.4,45.9
13:25:08,48.2,48.2,45.5,46
13:26:10,48.5,48.5,45.6,46.1
13:27:13,48.9,48.9,45.7,46.2
13:28:17,49.2,49.3,45.8,46.3
13:29:20,49.6,49.6,45.9,46.4
13:30:24,49.9,49.9,46,46.5
13:31:27,50.2,50.2,46.1,46.6
13:32:28,50.5,50.5,46.2,46.7
13:33:29,50.7,50.8,46.3,46.7
13:34:31,51,51,46.4,46.8
13:35:32,51.2,51.2,46.4,46.9
13:36:33,51.4,51.5,46.5,46.9
13:37:37,51.6,51.7,46.6,47
13:38:38,51.8,51.9,46.7,47.1
13:39:39,52,52.1,46.7,47.2
13:40:40,52.2,52.3,46.8,47.2
13:41:41,52.4,52.5,46.8,47.3
13:42:42,52.6,52.7,46.9,47.3
13:43:43,52.8,52.8,47,47.4
13:44:45,53,53,47,47.5
13:45:46,53.1,53.2,47.1,47.6
13:46:48,53.2,53.3,47.2,47.6
13:47:49,53.3,53.4,47.2,47.6
13:48:50,53.5,53.5,47.3,47.7
13:49:56,53.6,53.6,47.4,47.8
13:50:57,53.7,53.7,47.4,47.9
13:51:59,53.7,53.8,47.5,47.9
13:53:01,53.8,53.8,47.6,48
13:54:09,53.8,53.9,47.6,48
13:55:10,53.8,53.9,47.6,48.1
13:56:11,53.9,53.9,47.7,48.2
13:57:12,53.9,53.9,47.8,48.2
13:58:13,53.9,54,47.8,48.2
13:59:15,53.9,53.9,47.9,48.3
14:00:16,53.9,53.9,47.9,48.3
14:01:17,53.9,53.9,47.9,48.4
14:02:18,53.9,53.9,48,48.4
14:03:20,53.9,53.9,48,48.5
14:04:21,53.9,53.9,48.1,48.5
14:05:22,53.9,53.9,48.1,48.5
14:06:48,53.9,54,48.2,48.6
14:07:48,53.9,54,48.2,48.6
14:08:51,53.9,54,48.2,48.7
14:09:52,54,54,48.2,48.7
14:10:53,54,54,48.3,48.7
14:12:02,54,54,48.3,48.7
14:13:05,54,54,48.3,48.8
14:14:07,54,54,48.4,48.8
14:15:08,54,54,48.4,48.8
14:16:09,54,54,48.4,48.8
14:17:10,54,54,48.4,48.9
14:18:12,54,54,48.5,48.9
14:19:13,54,54,48.5,48.9
14:20:14,54,54,48.5,49
14:21:24,54,54,48.5,49
14:22:29,54,54,48.6,49
14:23:30,54,54,48.6,49
14:24:31,54,54,48.6,49.1
14:25:33,54,54,48.7,49.1
14:26:34,54,54,48.7,49.1
14:27:34,54,54.1,48.7,49.2
14:28:36,54.1,54.1,48.8,49.2
14:29:37,54.1,54.1,48.8,49.2
14:30:38,54.1,54.1,48.8,49.3
14:31:39,54.1,54.2,48.9,49.3
14:32:48,54.1,54.2,48.9,49.4
14:33:59,54.2,54.2,48.9,49.4
