time,drivingEndBearingTemp-I,drivingEndBearingTemp-II,nonDrivingEndBearingTemp-I,nonDrivingEndBearingTemp-II
16:13:51,39.1,39.7,39.3,39.3
16:14:52,39.2,39.8,39.6,39.6
16:15:53,39.4,40.1,40.1,40.1
16:16:53,39.6,40.3,40.3,40.3
16:17:53,39.9,40.5,40.9,40.9
16:18:54,40.1,40.7,41.4,41.4
16:19:54,40.3,41,41.8,41.8
16:20:54,40.5,41.2,42.2,42.2
16:21:55,40.8,41.4,42.6,42.6
16:22:55,41,41.6,43.4,43.4
16:23:56,41.2,41.9,44.6,44.6
16:24:56,41.4,42.1,46,46
16:25:57,41.6,42.3,47.3,47.3
16:26:58,41.8,42.5,48.7,48.7
16:27:58,42,42.6,50.1,50.1
16:28:58,42.2,42.8,51.3,51.3
16:29:59,42.3,43,52.5,52.5
16:30:59,42.5,43.2,53.5,53.5
16:32:00,42.7,43.4,54.4,54.4
16:33:00,42.9,43.6,55.2,55.2
16:34:01,43,43.7,55.8,55.8
16:35:01,43.2,43.9,56.3,56.2
16:36:02,43.4,44,56.5,56.5
16:37:02,43.5,44.2,56.8,56.7
16:38:03,43.7,44.3,56.9,56.9
16:39:03,43.8,44.5,57,57
16:40:03,43.9,44.6,57.1,57
16:41:04,44,44.7,57.2,57.2
16:42:05,44.2,44.9,57.3,57.3
16:43:05,44.3,45,57.3,57.3
16:44:05,44.4,45.1,57.3,57.3
16:45:06,44.4,45.2,57.3,57.3
16:46:06,44.5,45.3,57.2,57.2
16:47:07,44.6,45.3,57.1,57.1
16:48:07,44.7,45.4,57,57
16:49:08,44.8,45.5,56.8,56.8
16:50:08,44.9,45.6,56.7,56.7
16:51:09,45,45.7,56.5,56.5
16:52:09,45.1,45.8,56.4,56.4
16:53:10,45.2,45.9,56.2,56.2
16:54:10,45.2,46,56.1,56.1
16:55:10,45.3,46.1,56,56
16:56:11,45.4,46.1,55.9,55.8
16:57:11,45.5,46.2,55.7,55.7
16:58:12,45.5,46.3,55.6,55.6
16:59:12,45.6,46.3,55.4,55.4
17:00:13,45.6,46.4,55.3,55.3
17:01:14,45.7,46.5,55.2,55.2
17:02:14,45.8,46.5,55,55
17:03:14,45.8,46.6,54.9,54.9
17:04:15,45.9,46.6,54.8,54.8
17:05:15,45.9,46.7,54.7,54.7
17:06:16,46,46.7,54.6,54.6
17:07:16,46.1,46.8,54.5,54.5
17:08:16,46.1,46.9,54.4,54.4
17:09:17,46.2,46.9,54.3,54.3
17:10:18,46.3,47,54.2,54.2
17:11:18,46.3,47.1,54.2,54.2
17:12:18,46.4,47.1,54.1,54.1
17:13:19,46.5,47.2,54,54
17:14:19,46.5,47.2,53.9,53.9
17:15:20,46.5,47.3,53.8,53.8
17:16:20,46.6,47.3,53.7,53.7
17:17:21,46.6,47.4,53.6,53.6
17:18:21,46.7,47.4,53.5,53.5
17:19:22,46.7,47.5,53.4,53.4
17:20:23,46.8,47.5,53.3,53.3
17:21:23,46.8,47.6,53.3,53.3
17:22:23,46.8,47.6,53.2,53.2
17:23:24,46.9,47.6,53.2,53.2
17:24:24,46.9,47.7,53.1,53.1
17:25:25,46.9,47.7,53,53
17:26:25,46.9,47.7,53,53
17:27:26,46.9,47.7,53,53
17:27:30,46.9,47.7,53,53
