time,drivingEndBearingTemp-I,drivingEndBearingTemp-II,nonDrivingEndBearingTemp-I,nonDrivingEndBearingTemp-II
13:16:55,60.1,60.5,62.9,62.1
13:17:55,60.1,60.5,62.8,62
13:18:55,60.2,60.5,62.7,61.8
13:19:55,60.2,60.5,62.5,61.7
13:20:56,60.2,60.5,62.3,61.5
13:21:56,60.2,60.5,62.2,61.3
13:23:00,60.2,60.6,62,61
13:24:04,60.2,60.6,61.8,60.8
13:25:09,60.2,60.6,61.6,60.6
13:26:14,60.2,60.6,61.4,60.4
13:27:19,60.2,60.6,61.3,60.2
13:28:24,60.2,60.6,61.1,60
13:29:29,60.2,60.5,60.9,59.8
13:30:34,60.2,60.5,60.8,59.7
13:31:39,60.1,60.5,60.8,59.7
13:32:44,60.1,60.5,60.8,59.7
13:33:49,60.1,60.5,60.8,59.7
13:34:55,60.1,60.4,60.8,59.6
13:36:00,60,60.4,60.7,59.6
13:37:02,60,60.3,60.7,59.5
13:38:02,60,60.3,60.6,59.4
13:39:02,59.9,60.3,60.5,59.3
13:40:03,59.9,60.2,60.4,59.1
13:41:03,59.8,60.1,60.3,59
13:42:04,59.8,60.1,60.2,58.9
13:43:04,59.7,60.1,60.1,58.7
13:44:05,59.7,60,59.9,58.6
13:45:06,59.6,60,59.8,58.4
13:46:07,59.6,60,59.7,58.3
13:47:08,59.6,60,59.7,58.1
13:48:09,59.6,59.9,59.5,57.9
13:49:09,59.5,59.9,59.3,57.7
13:49:12,59.5,59.9,59.3,57.7
