time,drivingEndBearingTemp-I,drivingEndBearingTemp-II,nonDrivingEndBearingTemp-I,nonDrivingEndBearingTemp-II
12:57:04,37,37,37.9,37.6
12:58:05,37.2,37.2,38,37.7
12:59:05,37.3,37.3,38,37.8
13:00:06,37.5,37.5,38.1,37.8
13:01:06,37.6,37.6,38.1,37.9
13:02:07,37.8,37.8,38.2,38
13:03:07,37.9,37.9,38.3,38.1
13:04:08,38.1,38.1,38.4,38.1
13:05:08,38.3,38.3,38.5,38.2
13:06:09,38.4,38.4,38.6,38.3
13:07:09,38.6,38.6,38.6,38.4
13:08:09,38.8,38.8,38.8,38.5
13:09:10,38.9,38.9,38.8,38.6
13:10:10,39.1,39.1,38.9,38.7
13:11:11,39.3,39.3,39,38.8
13:12:11,39.5,39.5,39.1,38.9
13:13:11,39.6,39.6,39.2,39.1
13:14:12,39.8,39.8,39.3,39.1
13:15:12,40,40,39.4,39.2
13:16:13,40.2,40.2,39.5,39.4
13:17:13,40.4,40.4,39.7,39.4
13:18:14,40.5,40.5,39.7,39.5
13:19:14,40.7,40.7,39.8,39.6
13:20:14,40.9,40.9,39.9,39.7
13:21:14,41.1,41.1,40,39.8
13:22:15,41.3,41.3,40.1,39.9
13:23:15,41.5,41.5,40.1,40
13:24:16,41.7,41.7,40.2,40
13:25:16,41.9,41.9,40.3,40.1
13:26:16,42.1,42.1,40.4,40.2
13:27:17,42.3,42.3,40.5,40.3
13:28:17,42.5,42.5,40.5,40.4
13:29:18,42.7,42.7,40.6,40.4
13:30:18,42.9,42.9,40.7,40.5
13:31:19,43.1,43.1,40.7,40.6
13:32:19,43.3,43.3,40.8,40.6
13:33:20,43.5,43.5,40.8,40.7
13:34:20,43.7,43.7,40.9,40.7
13:35:20,43.9,43.9,40.9,40.8
13:36:21,44,44,41,40.8
13:37:21,44.2,44.2,41,40.9
13:38:22,44.4,44.4,41.1,40.9
13:39:22,44.6,44.6,41.1,40.9
13:40:22,44.8,44.8,41.1,41
13:41:23,44.9,44.9,41.2,41
13:42:23,45.1,45.1,41.2,41.1
13:43:24,45.3,45.3,41.3,41.1
13:44:24,45.4,45.4,41.3,41.2
13:45:24,45.6,45.6,41.4,41.2
13:46:25,45.7,45.7,41.4,41.3
13:47:25,45.8,45.8,41.5,41.3
13:48:26,46,46,41.5,41.3
13:49:26,46.1,46.1,41.5,41.4
13:50:26,46.2,46.2,41.6,41.4
13:51:27,46.4,46.4,41.6,41.4
13:52:27,46.5,46.5,41.6,41.5
13:53:28,46.6,46.6,41.7,41.5
13:54:28,46.8,46.8,41.7,41.5
13:55:29,46.9,46.9,41.7,41.6
13:56:29,47,47,41.8,41.6
13:57:29,47.1,47.1,41.8,41.6
13:58:30,47.2,47.2,41.8,41.7
13:59:30,47.4,47.4,41.9,41.7
14:00:31,47.5,47.5,41.9,41.8
14:01:31,47.6,47.6,42,41.8
14:02:32,47.7,47.7,42,41.9
14:03:14,47.8,47.8,42,41.9
13:59:30,47.9,47.9,42.1,42
14:00:31,48,48,42.1,42
14:01:31,48.2,48.2,42.1,42
14:02:32,48.3,48.3,42.2,42.1
14:03:14,48.4,48.4,42.2,42.1
13:59:30,48.5,48.5,42.3,42.2
14:00:31,48.6,48.6,42.3,42.2
14:01:31,48.7,48.7,42.3,42.3
14:02:32,48.9,48.9,42.4,42.3
14:03:14,49,49,42.4,42.4
13:59:30,49.1,49.1,42.4,42.4
14:00:31,49.2,49.2,42.5,42.4
14:01:31,49.3,49.3,42.5,42.5
14:02:32,49.4,49.4,42.6,42.5
14:03:14,49.5,49.5,42.6,42.6
13:59:30,49.7,49.7,42.6,42.6
14:00:31,49.8,49.8,42.7,42.7
14:01:31,49.9,49.9,42.7,42.7
14:02:32,50,50,42.7,42.7
14:03:14,50,50,42.7,42.7
13:59:30,50,50,42.7,42.7
14:00:31,50,50,42.7,42.7
