time,drivingEndBearingTemp-I,drivingEndBearingTemp-II,nonDrivingEndBearingTemp-I,nonDrivingEndBearingTemp-II
13:57:01,39.6,39.7,39.8,40
13:58:02,39.6,39.7,39.8,40
13:59:03,40,40.1,40.2,40.4
14:00:04,40.5,40.5,40.7,40.9
14:01:05,40.8,40.9,41.1,41.3
14:02:06,41.2,41.3,41.6,41.8
14:03:07,41.6,41.7,42,42.2
14:04:08,41.9,42,42.3,42.6
14:05:08,42.3,42.4,42.7,43
14:06:10,42.6,42.7,43,43.3
14:07:11,43,43.1,43.3,43.6
14:08:12,43.5,43.6,43.7,43.9
14:09:13,43.9,44,44,44.2
14:10:14,44.3,44.4,44.2,44.5
14:11:15,44.7,44.9,44.5,44.8
14:12:16,45.1,45.3,44.7,45
14:13:17,45.5,45.6,44.9,45.3
14:14:19,45.9,46,45.2,45.5
14:15:20,46.3,46.4,45.4,45.7
14:16:21,46.7,46.8,45.6,45.9
14:17:22,47.1,47.2,45.8,46.1
14:18:23,47.5,47.6,46,46.3
14:19:24,47.9,48,46.1,46.5
14:20:25,48.3,48.4,46.3,46.7
14:21:26,48.7,48.8,46.5,46.8
14:22:27,49.1,49.1,46.6,47
14:23:29,49.4,49.5,46.8,47.1
14:24:30,49.8,49.9,46.9,47.3
14:25:33,50.1,50.2,47.1,47.4
14:26:34,50.5,50.6,47.2,47.6
14:27:35,50.7,50.9,47.3,47.7
14:28:36,51,51.1,47.4,47.8
14:29:37,51.3,51.4,47.6,48
14:30:38,51.5,51.6,47.7,48
14:31:39,51.7,51.8,47.7,48.1
14:32:40,52,52.1,47.8,48.2
14:33:41,52.2,52.3,47.9,48.3
14:34:43,52.4,52.5,48,48.4
14:35:44,52.6,52.7,48.1,48.5
14:36:45,52.8,52.9,48.2,48.6
14:37:47,53,53.1,48.3,48.7
14:38:48,53.2,53.3,48.4,48.8
14:39:49,53.3,53.4,48.5,48.9
14:40:50,53.4,53.5,48.6,49
14:41:51,53.6,53.7,48.7,49.1
14:42:52,53.7,53.8,48.7,49.1
14:43:57,53.8,53.9,48.8,49.2
14:45:01,53.9,54,48.9,49.3
14:46:05,54,54.1,48.9,49.4
14:47:08,54.1,54.2,49,49.5
14:48:11,54.1,54.2,49.1,49.6
14:49:15,54.2,54.3,49.2,49.6
14:50:16,54.3,54.3,49.2,49.7
14:51:17,54.3,54.4,49.3,49.7
14:52:18,54.3,54.4,49.3,49.8
14:53:19,54.4,54.5,49.4,49.8
14:54:21,54.5,54.5,49.4,49.9
14:55:22,54.5,54.6,49.5,50
14:56:25,54.6,54.6,49.6,50
14:57:26,54.6,54.7,49.6,50.1
14:58:27,54.7,54.8,49.7,50.1
14:59:28,54.7,54.8,49.7,50.2
15:00:29,54.8,54.9,49.8,50.2
15:01:31,54.8,54.9,49.9,50.3
15:02:32,54.9,54.9,49.9,50.4
15:03:33,54.9,55,49.9,50.4
15:04:35,54.9,55,50,50.4
15:05:36,54.9,55,50,50.5
15:06:37,54.9,55,50.1,50.5
15:07:38,54.9,55,50.1,50.6
15:08:39,54.9,55,50.2,50.7
15:09:41,54.9,55,50.3,50.7
15:10:50,55,55.1,50.3,50.8
15:11:51,55,55.1,50.4,50.8
15:12:52,55,55.1,50.4,50.9
15:13:53,55.1,55.1,50.5,50.9
15:14:54,55.1,55.2,50.5,51
15:15:55,55.1,55.2,50.5,51
15:16:56,55.1,55.2,50.6,51.1
15:17:58,55.1,55.2,50.6,51.1
15:19:01,55.1,55.2,50.7,51.1
15:20:07,55.1,55.2,50.7,51.1
15:20:34,55.1,55.2,50.7,51.1
